Lab Name,UKAS Number,Address,Fake Email,Website,Discipline(s),Org Type,Postcode,OSEAST100M,OSNRTH100M,Responses
Buckinghamshire Healthcare NHS Trust,9448,"Department of Cellular Pathology, Wycombe Hospital, Queen Alexandra Road, High Wycombe HP11 2TT, United Kingdom",cellularpathology.wycombe@notnhs.net,http://www.buckshealthcare.nhs.uk,Histopathology,NHS,HP11 2TT,4863,1926,
Northern Lincolnshire and Goole NHS Foundation Trust,8833,"Path Links NHS Pathology Service, Diana Princess of Wales Hospital, Scartho Road, Grimsby DN33 2BA, United Kingdom",pathology.dianagrimsby@notnhs.net,,Histopathology,NHS,DN33 2BA,5262,4070,
Oxford University Hospitals NHS Foundation Trust,8415,"Cellular Pathology, John Radcliffe Hospital, Headley Way, Headington, Oxford OX3 9DU, United Kingdom",cellularpathology.johnradcliffe@notnhs.net,https://www.ouh.nhs.uk,Histopathology,NHS,OX3 9DU,4539,2075,
The Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,9580,"Immunology, Pathology Department (C37), New Cross Hospital, Wolverhampton Road, Wolverhampton WV10 0QP, United Kingdom",immunology.newcross@notnhs.net,http://bcpathology.org.uk,Histopathology,NHS,WV10 0QP,3936,3002,
The Mid Yorkshire Teaching NHS Trust,9026,"Dewsbury and District Hospital, Pathology, Halifax Road, Dewsbury, Yorkshire WF13 4HS, United Kingdom",pathology.dewsbury@notnhs.net,https://www.midyorks.nhs.uk,Histopathology,NHS,WF13 4HS,4230,4229,
University Hospitals Dorset NHS Foundation Trust,9073,"Haematology Department, Dorset Pathology Hub, Royal Bournemouth Hospital, Castle Lane East, Bournemouth BH7 7DW, United Kingdom",haematology.dorsetpath@notnhs.net,https://www.uhd.nhs.uk/,Histopathology,NHS,BH7 7DW,4127,942,
University Hospitals Dorset NHS Foundation Trust,9081,"Department of Immunology, Dorset Pathology Hub, Royal Bournemouth Hospital, Castle Lane East, Bournemouth BH7 7DW, United Kingdom",immunology.dorsetpath@notnhs.net,http://www.uhd.nhs.uk,Histopathology,NHS,BH7 7DW,4127,942,
University Hospitals Dorset NHS Foundation Trust,9147,"Cellular Pathology Department, The Dorset Pathology Hub, Royal Bournemouth Hospital, Castle Lane East, Bournemouth BH7 7DW, United Kingdom",cellularpathology.dorsetpath@notnhs.net,http://www.uhd.nhs.uk,Histopathology,NHS,BH7 7DW,4127,942,
University Hospitals Sussex NHS Foundation Trust,9677,"The Department of Haematology, Brighton and Sussex Pathology, The Royal Sussex County Hospital, Adj Thomas Kemp Tower, Eastern Road, Brighton BN2 5BE, United Kingdom",haematology.brightonsussex@notnhs.net,http://www.frontierpathology.nhs.uk/pug/,Histopathology,NHS,BN2 5BE,5326,1039,
Northern Care Alliance NHS Foundation Trust,9880,"Cellular Pathology and Mortuary Service, Royal Oldham Hospital, Rochdale Road, Oldham, Manchester OL1 2JH, United Kingdom",cellularpathology.royaloldham@notnhs.net,http://www.pat.nhs.uk/,Histopathology,NHS,OL1 2JH,3920,4062,
Portsmouth Hospitals University NHS Trust,8625,"Department of Cellular Pathology, Pathology Centre, Queen Alexandra Hospital, Portsmouth PO6 3LY, United Kingdom",cellularpathology.queenalexandra@notnhs.net,http://www.porthosp.nhs.uk,Histopathology,NHS,PO6 3LY,4655,1060,
Lancashire Teaching Hospitals NHS Foundation Trust,8544,"Department of Cellular Pathology, Royal Preston Hospital, Sharoe Green Lane, Fulwood, Preston PR2 9HT, United Kingdom",cellularpathology.royalpreston@notnhs.net,http://www.lancsteachinghospitals.nhs.uk,Histopathology,NHS,PR2 9HT,3535,4330,
Frimley Health NHS Foundation Trust,9727,"Department of Histopathology, Royal Surrey County Hospital, Egerton Road, Guildford GU2 7XX, United Kingdom",histopathology.royalsurrey@notnhs.net,http://www.nhspathology.fph.nhs.uk,Histopathology,NHS,GU2 7XX,4973,1500,
Milton Keynes University Hospital NHS Foundation Trust,8429,"Department of Pathology, Milton Keynes University Hospital NHS Foundation T, Standing Way, Eaglestone, Milton Keynes MK6 5LD, United Kingdom",pathology.miltonkeynes@notnhs.net,http://www.mkhospital.nhs.uk,Histopathology,NHS,MK6 5LD,4868,2371,
Sheffield Teaching Hospitals NHS Foundation Trust,8448,"Department of Pathology, Barnsley Hospital, Gawber Road, Barnsley S75 2EP, United Kingdom",pathology.barnsley@notnhs.net,http://www.barnsleyhospital.nhs.uk/pathology,Histopathology,NHS,S75 2EP,4332,4070,
Portsmouth Hospitals University NHS Trust,8660,"Microbiology Department, Pathology Building, Queen Alexandra Hospital, Portsmouth PO6 3LY, United Kingdom",microbiology.queenalexandra@notnhs.net,http://www.porthosp.nhs.uk/,Histopathology,NHS,PO6 3LY,4655,1060,
Gloucestershire Hospitals NHS Foundation Trust,9577,"Department of Histopathology, Cheltenham General Hospital, Sandford Road, Cheltenham GL53 7AN, United Kingdom",histopathology.cheltenham@notnhs.net,http://www.gloshospitals.nhs.uk,Histopathology,NHS,GL53 7AN,3951,2215,
University Hospitals Coventry and Warwickshire NHS Trust,8719,"Coventry and Warwickshire Pathology Service, Department of Biochemistry and Immunology, Clifford Bridge Road, Walsgrave, Coventry CV2 2DX, United Kingdom",biochemistry.coventrywarwick@notnhs.net,http://www.uhcw.nhs.uk,Histopathology,NHS,CV2 2DX,4382,2805,
The Royal Marsden NHS Foundation Trust,9929,"Department of Histopathology/Cytopathology, Fulham Road, London SW3 6JJ, United Kingdom",histopathology.fulhamroad@notnhs.net,,Histopathology,NHS,SW3 6JJ,5269,1784,
Northampton General Hospital NHS Trust,8115,"Cellular Pathology, Pathology Department, Northampton General Hospital, Cliftonville, Northampton, Northamptonshire NN1 5BD, United Kingdom",cellularpathology.northampton@notnhs.net,http://www.northamptongeneral.nhs.uk/OurServices/Clinical/Pathology/Pathology.aspx,Histopathology,NHS,NN1 5BD,4763,2603,
Bedfordshire Hospitals NHS Foundation Trust,8212,"Lewsey Road, Luton, Bedfordshire LU4 0DZ, United Kingdom",pathology.luton@notnhs.net,http://www.bedfordshirehospitals.nhs.uk,Histopathology,NHS,LU4 0DZ,5050,2228,
Cambridge University Hospitals NHS Foundation Trust,10003,"Haematopathology and Oncology Diagnostic Services, Addenbrookes Hospital, Hills Road, Cambridge CB2 0QQ, United Kingdom",haematopathology.addenbrookes@notnhs.net,http://www.cuh.org.uk,Histopathology,NHS,CB2 0QQ,5464,2551,
Stockport NHS Foundation Trust,9592,"Microbiology Department, Pathology Department, Stepping Hill Hospital, Poplar Grove, Stockport SK2 7JE, United Kingdom",microbiology.steppinghill@notnhs.net,,Histopathology,NHS,SK2 7JE,3913,3874,
Stockport NHS Foundation Trust,9593,"Cellular and Anatomical Pathology, Stepping Hill Hospital, Poplar Grove, Stockport SK2 7JE, United Kingdom",cellularpathology.steppinghill@notnhs.net,http://www.stockport.nhs.uk,Histopathology,NHS,SK2 7JE,3913,3874,
St Georgeâ€™s University Hospitals NHS Foundation Trust,9085,"South West London Pathology, Clinical Blood Sciences, St Georgeâ€™s Hospital, Blackshaw Road, Tooting, London SW17 0QT, United Kingdom",bloodsciences.swlondon@notnhs.net,http://www.swlp.nhs.uk,"Biochemistry, Histopathology",NHS,SW17 0QT,5269,1713,
University Hospitals Birmingham NHS Foundation Trust,8759,"Molecular Pathology Department, Clinical Laboratory Services, Queen Elizabeth Hospital, Mindelsohn Way, Edgbaston, Birmingham B15 2WB, United Kingdom",molecularpathology.queenelizabeth@notnhs.net,http://www.uhb.nhs.uk,Histopathology,NHS,B15 2WB,4040,2835,
Imperial College Healthcare NHS Trust operating as North West London Pathology,9615,"Charing Cross Hospital, Rm 2L20, Pathology Quality Office, Fulham Palace Road, London W6 8RF, United Kingdom",pathology.charingcross@notnhs.net,https://www.NWLPathology.nhs.uk,Histopathology,NHS,W6 8RF,5236,1779,
Imperial College Healthcare NHS Trust operating as North West London Pathology,8673,"North West London Pathology, 2nd Floor Laboratory Block, Charing Cross Hospital, Imperial College Healthcare NHS Trust, London W6 8RF, United Kingdom",pathology.nwlondon@notnhs.net,http://www.imperial.nhs.uk/about-us,Histopathology,NHS,W6 8RF,5236,1779,
University Hospital Southampton NHS Foundation Trust,8149,"Southampton General Hospital, Pathology Department, Tremona Road, Southampton SO16 6YD, United Kingdom",pathology.southampton1@notnhs.net,https://www.uhspathology.co.uk,Histopathology,NHS,SO16 6YD,4397,1149,
University Hospitals Southampton NHS Foundation Trust,8483,"Southampton General Hospital, Pathology Department, Tremona Road, Southampton SO16 6YD, United Kingdom",pathology.southampton2@notnhs.net,http://www.uhs.nhs.uk,Histopathology,NHS,SO16 6YD,4397,1149,
Manchester University NHS Foundation Trust,8648,"Cellular Pathology, Clinical Sciences Building 2, Manchester Royal Infirmary, Oxford Road, Manchester M13 9WL, United Kingdom",cellularpathology.manchesterroyal@notnhs.net,https://mft.nhs.uk/,Histopathology,NHS,M13 9WL,3849,3962,
NHS Forth Valley,9105,"Department of Cellular Pathology, Forth Valley Royal Hospital, Stirling Road, Larbert FK5 4WR, United Kingdom",cellularpathology.forthvalley@notnhs.net,,Histopathology,NHS,FK5 4WR,2849,6828,
HSL (Analytics) LLP,9306,"The Michael Letcher Department of Cellular Patholo, The Princess Alexandra Hospital NHS Trust, Hamstel Road, Harlow, Essex CM20 1QX, United Kingdom",cellularpathology.princessalexandra@notnhs.net,http://www.hslpathology.com,Histopathology,NHS,CM20 1QX,5441,2101,
Blackpool Teaching Hospitals NHS Foundation Trust,9009,"Department of Cellular Pathology, Blackpool Teaching Hospitals NHS Foundation Trust, Victoria Hospital, Whinney Heys Road, Blackpool FY3 8NR, United Kingdom",cellularpathology.blackpool@notnhs.net,http://www.bfwh.nhs.uk,Histopathology,NHS,FY3 8NR,3331,4365,
North Bristol NHS Trust,8099,"Department of Microbiology, Pathology Building, Southmead Hospital,, Southmead, Bristol BS10 5NB, United Kingdom",microbiology.southmead@notnhs.net,http://www.nbt.nhs.uk,Histopathology,NHS,BS10 5NB,3590,1774,
University Hospitals Coventry and Warwickshire NHS Trust,8721,"Coventry and Warwick Pathology Service, Department of Microbiology, Clifford Bridge Road, Walsgrave, Coventry CV2 2DX, United Kingdom",microbiology.coventrywarwick@notnhs.net,http://www.uhcw.nhs.uk/for-gps/pathology-services,Histopathology,NHS,CV2 2DX,4382,2805,
Nottingham University Hospitals NHS Trust,8162,"Cellular Pathology, City Hospitals, Hucknall Road, Nottingham NG5 1PB, United Kingdom",cellularpathology.cityhospitals@notnhs.net,http://www.nuh.nhs.uk/healthcare-professionals/pathology/,Histopathology,NHS,NG5 1PB,4565,3440,
University Hospital Southampton NHS Foundation Trust,8178,"Department of Cellular Pathology, MP002 Level E, Pathology Block, Southampton General Hospital, Tremona Road, Southampton SO16 6YD, United Kingdom",cellularpathology.southampton@notnhs.net,,Histopathology,NHS,SO16 6YD,4397,1149,
University Hospital Southampton NHS Foundation Trust,9194,"Molecular Pathology, Duthie Link Building, Mailpoint 225, University Hospital Southampton NHS Foundation Tru, Tremona Road, Southampton, Hampshire SO16 6YD, United Kingdom",molecularpathology.southampton@notnhs.net,http://www.uhspathology.co.uk,Histopathology,NHS,SO16 6YD,4397,1149,
Sheffield Teaching Hospitals NHS Foundation Trust,8093,"Paediatric Histopathology, Western Bank, Sheffield S10 2TH, United Kingdom",paediatrichistopath.sheffield@notnhs.net,https://www.sheffieldchildrens.nhs.uk/laboratory-medicine/,Histopathology,NHS,S10 2TH,4339,3872,
Dartford and Gravesham NHS Trust,9746,"Department of Haematology and Blood Transfusion, 3rd Floor Pathology Directorate, Darent Valley Hospital, Darenth Wood Road, Dartford, Kent DA2 8DA, United Kingdom",haematology.darentvalley@notnhs.net,http://www.dvh.nhs.uk,"Haematology, Histopathology",NHS,DA2 8DA,5570,1730,
East Suffolk and North Essex NHS Foundation Trust (ESNEFT),9316,"Histopathology, Ipswich Hospital, Heath Road, Ipswich, Suffolk IP4 5PD, United Kingdom",histopathology.ipswich@notnhs.net,,Histopathology,NHS,IP4 5PD,6193,2446,
NHS Lothian,8698,"Pathology, Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4UX, United Kingdom",pathology.royaledinburgh@notnhs.net,,Histopathology,NHS,EH16 4UX,3295,6702,
University Hospitals of North Midlands NHS Trust,8520,"Department of Infection Sciences, North Midlands and Cheshire Pathology Service, Royal Stoke University Hospital, Main Building â€“ Floor 2, Newcastle Road, Stoke-on-Trent, Staffordshire ST4 6QG, United Kingdom",infectionsciences.royalstoke@notnhs.net,http://www.uhnm.nhs.uk,"Histopathology, Microbiology",NHS,ST4 6QG,3858,3451,
Warrington and Halton Teaching Hospitals NHS Foundation Trust,9560,"Pathology Department, Warrington Hospital, Lovely Lane, Warrington WA5 1QG, United Kingdom",pathology.warrington@notnhs.net,http://www.whh.nhs.uk/ServiceCatInfo.asp?id=31,Histopathology,NHS,WA5 1QG,3594,3887,
St Georgeâ€™s University Hospitals NHS Foundation Trust,9913,"St George's Healthcare NHS Trust, Cellular Pathology, Blackshaw Road, London SW17 0QT, United Kingdom",cellularpathology.stgeorges@notnhs.net,http://www.stgeorges.nhs.uk,Histopathology,NHS,SW17 0QT,5269,1713,
Royal Devon University Healthcare NHS Foundation Trust,9100,"Pathology Department, North Devon District Hospital, Raleigh Park, Barnstaple EX31 4JB, United Kingdom",pathology.northdevon@notnhs.net,https://www.royaldevon.nhs.uk/services/pathology/,Histopathology,NHS,EX31 4JB,2565,1345,
East Sussex Healthcare NHS Trust,8790,"Cellular Pathology, Conquest Hospital, The Ridge, St Leonards on Sea TN37 7RD, United Kingdom",cellularpathology.conquest@notnhs.net,https://www.esh.nhs.uk,Histopathology,NHS,TN37 7RD,5806,1126,
The Shrewsbury & Telford Hospital NHS Trust,9038,"Department of Pathology, Royal Shrewsbury Hospital, Mytton Oak Road, Shrewsbury SY3 8XQ, United Kingdom",pathology.royalshrewsbury1@notnhs.net,http://www.sath.nhs.uk/services/pathology/default.aspx,Histopathology,NHS,SY3 8XQ,3464,3126,
Barts Health NHS Trust as the host of NHS East and South East London Pathology Partnership,8285,"Pathology, Barts Health NHS Trust, Pathology and Pharmacy Building, Royal London Hospital, 80 Newark Street, London E1 2ES, United Kingdom",pathology.bartshealth@notnhs.net,http://www/bartshealth.nhs.uk,Histopathology,NHS,E1 2ES,5349,1815,
Cambridge University Hospitals NHS Foundation Trust,8038,"Histopathology CUHFT, Box 235, Addenbrookes Hospital, Hills Road, Cambridge CB2 0QQ, United Kingdom",histopathology.addenbrookes@notnhs.net,https://www.cuh.nhs.uk/services/histopathology-and-cytology,Histopathology,NHS,CB2 0QQ,5464,2551,
Royal United Hospitals Bath NHS Foundation Trust,9403,"Department of Pathology , Combe Park, Bath BA1 3NG, United Kingdom",pathology.bath@notnhs.net,http://www.ruh.nhs.uk,Histopathology,NHS,BA1 3NG,3728,1659,
Hampshire Hospitals NHS Foundation Trust,8082,"Pathology, Basingstoke & North Hampshire Hospital, Aldermaston Road, Basingstoke RG24 9NA, United Kingdom",pathology.basingstoke@notnhs.net,http://www.hampshirehospitals.nhs.uk,Histopathology,NHS,RG24 9NA,4621,1538,
Kingston and Richmond NHS Foundation Trust,8132,"Cellular Pathology, Level 2, Esher Wing, Kingston Hospital, Galsworthy Road, Kingston upon Thames KT2 7QB, United Kingdom",cellularpathology.kingston@notnhs.net,http://www.kingstonhospital.nhs.uk,Histopathology,NHS,KT2 7QB,5195,1698,
Isle of Wight NHS Trust,8954,"Department of Cellular Pathology, St. Maryâ€™s Hospital, Newport, Isle of Wight PO30 5TG, United Kingdom",cellularpathology.iow@notnhs.net,http://www.iow.nhs.uk,Histopathology,NHS,PO30 5TG,4494,903,
The Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,8663,"Department of Biochemistry, Pathology Centre C37, New Cross Hospital, Wolverhampton Road, Wolverhampton WV10 0QP, United Kingdom",biochemistry.newcross@notnhs.net,http://www.royalwolverhampton.nhs.uk,Histopathology,NHS,WV10 0QP,3936,3002,
East Kent Hospitals University NHS Foundation Trust,9246,"Cellular Pathology, East Kent Hospitals University NHS Foundation Trust, William Harvey Hospital, Kennington Road, Willesborough, Ashford, Kent TN24 0LZ, United Kingdom",cellularpathology.eastkent@notnhs.net,http://www.ekhuft.nhs.uk,Histopathology,NHS,TN24 0LZ,6040,1420,
Mersey and West Lancashire Teaching Hospitals NHS Trust,8908,"Pathology Directorate, Nightingale House, Whiston Hospital, Warrington Road, Prescot, Merseyside L35 5DR, United Kingdom",pathology.whiston@notnhs.net,https://www.merseywestlancs.nhs.uk/,Histopathology,NHS,L35 5DR,3479,3918,
Nottingham University Hospitals NHS Trust,8848,"Clinical Pathology Laboratory, Queenâ€™s Medical Campus, Nottingham NG7 2UH, United Kingdom",pathology.queensmedical@notnhs.net,http://www.nuh.nhs.uk,Histopathology,NHS,NG7 2UH,4548,3388,
Sherwood Forest Hospitals NHS Foundation Trust,8705,"Cellular Pathology, Kingâ€™s Mill Hospital, Mansfield Road, Sutton in Ashfield, Nottinghamshire NG17 4JL, United Kingdom",cellularpathology.kingsmill@notnhs.net,http://www.sfh-tr.nhs.uk,Histopathology,NHS,NG17 4JL,4513,3599,
University Hospitals of Derby and Burton NHS Foundation Trust operating as Derbyshire Pathology,9308,"Royal Derby Hospital, Uttoxeter Road, Derby, Derbyshire DE22 3NE, United Kingdom",pathology.royalderby@notnhs.net,http://www.derbyhospitals.nhs.uk,Histopathology,NHS,DE22 3NE,4328,3348,
NHS Tayside,8682,"Pathology Department, Level 6, Ninewells Hospital, Dundee DD1 9SY, United Kingdom",pathology.ninewells@notnhs.net,https://www.nhstayside.scot.nhs.uk,Histopathology,NHS,DD1 9SY,3390,7303,
North Bristol NHS Trust,8130,"Cellular Pathology, Southmead Hospital, Westbury on Trym, Bristol, United Kingdom",cellularpathology.southmead@notnhs.net,https://www.nbt.nhs.uk/severn-pathology,Histopathology,NHS,BS10 5NB,3590,1774,
Aneurin Bevan University Health Board,10338,"Cellular Pathology Department, Royal Gwent Hospital, Cardiff Road, Newport NP20 2UB, United Kingdom",cellularpathology.royalgwent@notnhs.net,http://www.wales.nhs.uk/sitesplus/866/home,Histopathology,NHS,NP20 2UB,3309,1872,
The Newcastle-upon-Tyne Hospitals NHS Foundation Trust,8534,"Department of Cellular Pathology, Level 3, New Victoria Wing, Royal Victoria Infirmary, Queen Victoria Road, Newcastle upon Tyne NE1 4LP, United Kingdom",cellularpathology.royalvictoria@notnhs.net,http://www.newcastlelaboratories.com,Histopathology,NHS,NE1 4LP,4244,5651,Delivery Failed
Frimley Health NHS Foundation Trust,9734,"Department of Microbiology, Pathology Department, Wexham Park Hospital, Wexham, Slough SL2 4HL, United Kingdom",microbiology.wexhampark@notnhs.net,http://www.nhspathology.fph.nhs.uk,Histopathology,NHS,SL2 4HL,4990,1824,
Wye Valley NHS Trust,8628,"Pathology Department, Hereford County Hospital, Union Walk, Hereford HR1 2ER, United Kingdom",pathology.hereford@notnhs.net,http://www.wyevalley.nhs.uk,Histopathology,NHS,HR1 2ER,3515,2402,
Wirral University Teaching Hospital NHS Foundation Trust,8836,"Cellular Pathology, Department of Cellular Pathology, Arrowe Park Hospital, Arrowe Park Road, Wirral CH49 5PE, United Kingdom",cellularpathology.arrowepark@notnhs.net,http://www.wuth.nhs.uk,Histopathology,NHS,CH49 5PE,3271,3864,
Oxford University Hospitals NHS Foundation Trust,9642,"Neuropathology and Ocular Pathology Department, Level 1, West Wing, John Radcliffe Hospital, Headley Way, Headington, Oxford OX3 9DU, United Kingdom",neuropathology.johnradcliffe@notnhs.net,http://ouh.nhs.uk/services/departments/neurosciences/neuropathology,Histopathology,NHS,OX3 9DU,4539,2075,
Torbay and South Devon NHS Foundation Trust,8914,"Histopathology Department, South Devon Healthcare NHS Foundation Trust, Lowes Bridge, Torquay, Devon TQ2 7AA, United Kingdom",histopathology.southdevon@notnhs.net,http://www.sdhct.nhs.uk,Histopathology,NHS,TQ2 7AA,2898,658,
University Hospitals of Morecambe Bay NHS Foundation Trust,9639,"Royal Lancaster Infirmary, New Pathology Lab, Ashton Road, Lancaster, Lancashire LA1 4RP, United Kingdom",pathology.royallancaster@notnhs.net,https://www.uhmb.nhs.uk/our-services/pathology,Histopathology,NHS,LA1 4RP,3477,4610,
The Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,8655,"Department of Microbiology, Pathology Centre C37, New Cross Hospital, Wolverhampton Road, Wolverhampton WV10 0QP, United Kingdom",microbiology.newcross@notnhs.net,https://https//www.royalwolverhampton.nhs.uk,Histopathology,NHS,WV10 0QP,3936,3002,
Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,8407,"City Hospital, Dudley Road, Birmingham B18 7QH, United Kingdom",pathology.cityhospital.birmingham@notnhs.net,,Histopathology,NHS,B18 7QH,4046,2878,
Integrated Pathology Solutions LLP,9033,"Airedale NHS Foundation Trust, Skipton Road, Steeton, West Yorkshire BD20 6TD, United Kingdom",pathology.airedale@notnhs.net,http://www.airedale-trust.nhs.uk,Histopathology,NHS,BD20 6TD,4025,4446,
Norfolk and Norwich University Hospital NHS Foundation Trust trading as Eastern Pathology Alliance,10295,"Norfolk and Norwich University Hospital, Colney Lane, Norwich NR4 7UY, United Kingdom",pathology.norfolknorwich@notnhs.net,,Histopathology,NHS,NR4 7UY,6181,3070,
University Hospitals Plymouth NHS Trust,9881,"Cellular and Anatomical Pathology, University Hospitals Plymouth NHS Trust, Derriford Hospital, Plymouth PL6 8DH, United Kingdom",cellularpathology.derriford@notnhs.net,http://www.plymouthhospitals.nhs.uk,Histopathology,NHS,PL6 8DH,2499,595,
