Lab Name,UKAS Number,Address,Telephone Number,Email Address,Website,Discipline(s),Flags,Org Type,Postcode,OSEAST100M,OSNRTH100M
Royal Devon University Healthcare NHS Foundation Trust,8123,"Cellular Pathology, Royal Devon & Exeter Hospital, Church Lane, Exeter, Devon EX2 5AD, United Kingdom",+44 (0)1392 406403,leah.riley1@nhs.net,http://www.exeterlaboratory.com/cellular-pathology/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,EX2 5AD,2937,920
Calderdale and Huddersfield NHS Foundation Trust,8992,"Pathology, Huddersfield Royal Infirmary, Acre Street, Lindley HD3 3EA, United Kingdom",+44 (0) 1484 355365,Alison.Milner@cht.nhs.uk,http://www.cht.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,HD3 3EA,4122,4176
Synnovis Analytics LLP,8620,"Department of Clinical Neuropathology, Kingâ€™s College Hospital NHS Foundation Trust, Denmark Hill, London SE5 9RS, United Kingdom",+44 020 7188 7188 ext. 54607,karen.boniface@synnovis.co.uk,http://www.synnovis.co.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SE5 9RS,5324,1760
Imperial College Healthcare NHS Trust operating as North West London Pathology,8674,"St Mary's Hospital, 2nd Floor Mint Wing, Praed Street, London W2 1NY, United Kingdom",,pathologyqueries@imperial.nhs.uk,http://www.pathology.imperial.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,W2 1NY,5268,1813
North West Anglia NHS Foundation Trust,8055,"Pathology Department, Department 413, Peterborough City Hospital, Edith Cavell Campus, Bretton Gate PE3 9GZ, United Kingdom",+44 (0)1733678441,kerry.winham-whyte@nhs.net,http://www.peterboroughandstamford.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,PE3 9GZ,5166,2998
NHS Fife,8816,"Department of Cellular Pathology, North Laboratories, Hayfield Road, Kirkcaldy, Fife KY2 5AH, United Kingdom",+44 (0) 1592 643355 ext 28488,derek.selbie@nhs.scot,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,KY2 5AH,3279,6930
Maidstone & Tunbridge Wells NHS Trust,8062,"Cellular Pathology Department, Maidstone Hospital, Hermitage Lane, Maidstone ME16 9QQ, United Kingdom",+44 (0)1622 224040,Hayley.williams15@nhs.net,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,ME16 9QQ,5733,1556
The Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,8665,"Department of Cellular Pathology, Pathology Centre C37, New Cross Hospital, Wolverhampton Road, Wolverhampton WV10 0QP, United Kingdom",+44 (0)1902 07999 ext. 88247,katy.new@nhs.net,http://www.royalwolverhampton.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WV10 0QP,3936,3002
"UK Health Security Agency, An Executive Agency of the Department of Health and Social Care",8043,"Infection Sciences Laboratory, Pathology Building, Southmead Hospital, Southmead Road, Westbury on Trym, Bristol BS10 5NB, United Kingdom",+44 (0) 117 414 6251,Deborah.Williams2@nbt.nhs.uk,,"Histopathology, Microbiology",Added histopathology by rule,NHS,BS10 5NB,3590,1774
North Bristol NHS Trust,9307,"Bristol Genetics Laboratory, Pathology Sciences Building, Southmead Hospital, Westbury on Trym BS10 5NB, United Kingdom",+44 (0)1174 146 168,Laura.Johnston@nbt.nhs.uk,http://www.nbt.nhs.uk/severn-pathology/pathology-services/bristol-genetics-laboratory-bgl,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BS10 5NB,3590,1774
Norfolk & Norwich University Hospitals NHS Foundation Trust,8405,"Norfolk and Waveney, Cellular Pathology Service, The Cotman Centre, Colney Lane, Norwich NR4 7UB, United Kingdom",+44 (0) 1603 286 950,laurawright2@nnuh.nhs.uk,http://www.nnuh.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NR4 7UB,6182,3078
York and Scarborough Teaching Hospitals NHS Foundation Trust,9844,"Pathology Department, Pathology Building, Hull Royal Infirmary, Anlaby Road, Hull HU3 2JZ, United Kingdom",+44 (0)148 260 7722,david.oglesby@nhs.net,http://www.hey.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,HU3 2JZ,5083,4287
University Hospitals of Leicester NHS Trust,8608,"Department of Cellular Pathology, Sandringham Building, Leicester Royal Infirmary, Infirmary Square, Leicester LE1 5WW, United Kingdom",+44 (0) 116 258 6591,diana.cullen@nhs.net,http://www.leicestershospitals.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,LE1 5WW,4585,3035
The Royal Wolverhampton Hospitals NHS Trust operating as Black Country Pathology Services,9578,"Department of Haematology, Russellâ€™s Hall Hospital, Pensnett Road, Dudley, West Midlands DY1 2HQ, United Kingdom",+44 (0)1384 244047,katy.new@nhs.net,http://www.dudleygroup.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,DY1 2HQ,3921,2893
Buckinghamshire Healthcare NHS Trust,9448,"Department of Cellular Pathology, Wycombe Hospital, Queen Alexandra Road, High Wycombe HP11 2TT, United Kingdom",+44 (0)1494 426056,Anna.Clarke11@nhs.net,http://www.buckshealthcare.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,HP11 2TT,4863,1926
Northern Lincolnshire and Goole NHS Foundation Trust,8833,"Path Links NHS Pathology Service, Diana Princess of Wales Hospital, Scartho Road, Grimsby DN33 2BA, United Kingdom",+44 (0)1536 493368,James.maclean@nhs.net,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,DN33 2BA,5262,4070
Oxford University Hospitals NHS Foundation Trust,8415,"Cellular Pathology, John Radcliffe Hospital, Headley Way, Headington, Oxford OX3 9DU, United Kingdom",+44 (0)1865-220494,sharon.roberts-gant@ouh.nhs.uk,https://www.ouh.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,OX3 9DU,4539,2075
The Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,9580,"Immunology, Pathology Department (C37), New Cross Hospital, Wolverhampton Road, Wolverhampton WV10 0QP, United Kingdom",+44 (0)1902 307999 ext. 88247,katy.new@nhs.net,http://bcpathology.org.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WV10 0QP,3936,3002
The Mid Yorkshire Teaching NHS Trust,9026,"Dewsbury and District Hospital, Pathology, Halifax Road, Dewsbury, Yorkshire WF13 4HS, United Kingdom",+44 (0) 1924 317 003,enaylor1@nhs.net,https://www.midyorks.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WF13 4HS,4230,4229
University Hospitals Dorset NHS Foundation Trust,9073,"Haematology Department, Dorset Pathology Hub, Royal Bournemouth Hospital, Castle Lane East, Bournemouth BH7 7DW, United Kingdom",+44 (0) 300 019 4879,nathan.bourne@uhd.nhs.uk,https://www.uhd.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BH7 7DW,4127,942
University Hospitals Dorset NHS Foundation Trust,9081,"Department of Immunology, Dorset Pathology Hub, Royal Bournemouth Hospital, Castle Lane East, Bournemouth BH7 7DW, United Kingdom",+44 (0) 300 019 4879,nathan.bourne@uhd.nhs.uk,http://www.uhd.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BH7 7DW,4127,942
University Hospitals Dorset NHS Foundation Trust,9147,"Cellular Pathology Department, The Dorset Pathology Hub, Royal Bournemouth Hospital, Castle Lane East, Bournemouth BH7 7DW, United Kingdom",+44 (0) 300 019 4879,nathan.bourne@uhd.nhs.uk,http://www.uhd.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BH7 7DW,4127,942
University Hospitals Sussex NHS Foundation Trust,9677,"The Department of Haematology, Brighton and Sussex Pathology, The Royal Sussex County Hospital, Adj Thomas Kemp Tower, Eastern Road, Brighton BN2 5BE, United Kingdom",+44 (0) 1273 696955 ext 3678,liza.faustino@nhs.net,http://www.frontierpathology.nhs.uk/pug/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BN2 5BE,5326,1039
Northern Care Alliance NHS Foundation Trust,9880,"Cellular Pathology and Mortuary Service, Royal Oldham Hospital, Rochdale Road, Oldham, Manchester OL1 2JH, United Kingdom",+44 (0)161 627 8357,amanda.ogden@nca.nhs.uk,http://www.pat.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,OL1 2JH,3920,4062
Portsmouth Hospitals University NHS Trust,8625,"Department of Cellular Pathology, Pathology Centre, Queen Alexandra Hospital, Portsmouth PO6 3LY, United Kingdom",+44 023 9228 6718,Michelle.Jackson@porthosp.nhs.uk,http://www.porthosp.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,PO6 3LY,4655,1060
Lancashire Teaching Hospitals NHS Foundation Trust,8544,"Department of Cellular Pathology, Royal Preston Hospital, Sharoe Green Lane, Fulwood, Preston PR2 9HT, United Kingdom",+44 (0) 1772 523108,carron.wilson@lthtr.nhs.uk,http://www.lancsteachinghospitals.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,PR2 9HT,3535,4330
Frimley Health NHS Foundation Trust,9727,"Department of Histopathology, Royal Surrey County Hospital, Egerton Road, Guildford GU2 7XX, United Kingdom",+44 (0) 1276 522194 / 01932 723424,fph-tr.bspsquality@nhs.net,http://www.nhspathology.fph.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,GU2 7XX,4973,1500
Milton Keynes University Hospital NHS Foundation Trust,8429,"Department of Pathology, Milton Keynes University Hospital NHS Foundation T, Standing Way, Eaglestone, Milton Keynes MK6 5LD, United Kingdom",+44 (0)1908 995812,rebecca.potter@mkuh.nhs.uk,http://www.mkhospital.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,MK6 5LD,4868,2371
Sheffield Teaching Hospitals NHS Foundation Trust,8448,"Department of Pathology, Barnsley Hospital, Gawber Road, Barnsley S75 2EP, United Kingdom",+44 (0) 1226 432289,sth.sybpqrg@nhs.net,http://www.barnsleyhospital.nhs.uk/pathology,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,S75 2EP,4332,4070
Portsmouth Hospitals University NHS Trust,8660,"Microbiology Department, Pathology Building, Queen Alexandra Hospital, Portsmouth PO6 3LY, United Kingdom",+44 (0)23 92286784,Alexander.Walster@porthosp.nhs.uk,http://www.porthosp.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,PO6 3LY,4655,1060
Portsmouth Hospitals University NHS Trust,8627,"Blood Sciences (Biochemistry & Haematology), Pathology Building, Queen Alexandra Hospital, Portsmouth PO6 3LY, United Kingdom",+44 (0) 239228 6784,victoria.hunt@porthosp.nhs.uk,http://www.porthosp.nhs.uk/departments/Pathology/pathology.htm,"Biochemistry, Histopathology",Added histopathology by rule,NHS,PO6 3LY,4655,1060
Gloucestershire Hospitals NHS Foundation Trust,9577,"Department of Histopathology, Cheltenham General Hospital, Sandford Road, Cheltenham GL53 7AN, United Kingdom",+44 (0)300 422 4400,andrew.usher1@nhs.net,http://www.gloshospitals.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,GL53 7AN,3951,2215
University Hospitals Coventry and Warwickshire NHS Trust,8719,"Coventry and Warwickshire Pathology Service, Department of Biochemistry and Immunology, Clifford Bridge Road, Walsgrave, Coventry CV2 2DX, United Kingdom",+44 (0) 2476 865477,Kamaljit.chatha@uhcw.nhs.uk,http://www.uhcw.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,CV2 2DX,4382,2805
The Royal Marsden NHS Foundation Trust,9929,"Department of Histopathology/Cytopathology, Fulham Road, London SW3 6JJ, United Kingdom",+44 (0)208 915 6549,Natalie.Peters@rmh.nhs.uk,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SW3 6JJ,5269,1784
Imperial College Healthcare NHS Trust operating as North West London Pathology,8659,"Department of Infection & Immunity Sciences, (Microbiology, I&I and H&I laboratories) Acrow East, St Mary's Hospital, Praed Street, London W2 1NY, United Kingdom",+44 (0)20 331 15175,imperial.nwlpquality@nhs.net,,"Histopathology, Immunology, Microbiology",Multiple disciplines; Added histopathology by rule,NHS,W2 1NY,5268,1813
Stockport NHS Foundation Trust,9594,"Blood Sciences Department, Pathology Laboratory, Stepping Hill Hospital, Poplar Grove, Stockport SK2 7JE, United Kingdom",+44 (0)161 419 5630,parmesher.singh@stockport.nhs.uk,http://www.stockport.nhs.uk,"Biochemistry, Histopathology",Added histopathology by rule,NHS,SK2 7JE,3913,3874
Northampton General Hospital NHS Trust,8115,"Cellular Pathology, Pathology Department, Northampton General Hospital, Cliftonville, Northampton, Northamptonshire NN1 5BD, United Kingdom",+44 (0)1604 523809,Josephine.evans7@nhs.net,http://www.northamptongeneral.nhs.uk/OurServices/Clinical/Pathology/Pathology.aspx,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NN1 5BD,4763,2603
Bedfordshire Hospitals NHS Foundation Trust,8212,"Lewsey Road, Luton, Bedfordshire LU4 0DZ, United Kingdom",+44 (0)1582 718308,Pathologyqualityteam@ldh.nhs.uk,http://www.bedfordshirehospitals.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,LU4 0DZ,5050,2228
Cambridge University Hospitals NHS Foundation Trust,10003,"Haematopathology and Oncology Diagnostic Services, Addenbrookes Hospital, Hills Road, Cambridge CB2 0QQ, United Kingdom",+44 (0)1223 256443,shamsa.khairani@nhs.net,http://www.cuh.org.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,CB2 0QQ,5464,2551
Stockport NHS Foundation Trust,9592,"Microbiology Department, Pathology Department, Stepping Hill Hospital, Poplar Grove, Stockport SK2 7JE, United Kingdom",+44 (0) 161 419 5601,Sadie.macmaster@stockport.nhs.uk,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SK2 7JE,3913,3874
Stockport NHS Foundation Trust,9593,"Cellular and Anatomical Pathology, Stepping Hill Hospital, Poplar Grove, Stockport SK2 7JE, United Kingdom",+44 (0)161 419 5623,rachel.rank@stockport.nhs.uk,http://www.stockport.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SK2 7JE,3913,3874
Dartford and Gravesham NHS Trust,8817,"Department of Chemical Pathology, 3rd Floor Pathology Directorate, Darent Valley Hospital, Darenth Wood Road, Dartford, Kent DA2 8DA, United Kingdom",+44 (0) 1322 428492,tracy.wynn@nhs.net,http://www.dvh.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,DA2 8DA,5570,1730
St Georgeâ€™s University Hospitals NHS Foundation Trust,9085,"South West London Pathology, Clinical Blood Sciences, St Georgeâ€™s Hospital, Blackshaw Road, Tooting, London SW17 0QT, United Kingdom",+44 (0)208 725 5920,Temetia.providence-amir@nhs.net,http://www.swlp.nhs.uk,"Biochemistry, Histopathology",Added histopathology by rule,NHS,SW17 0QT,5269,1713
University Hospitals Birmingham NHS Foundation Trust,8759,"Molecular Pathology Department, Clinical Laboratory Services, Queen Elizabeth Hospital, Mindelsohn Way, Edgbaston, Birmingham B15 2WB, United Kingdom",+44 (0) 121 371 3825,Satveer.Sandhu@uhb.nhs.uk,http://www.uhb.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,B15 2WB,4040,2835
Imperial College Healthcare NHS Trust operating as North West London Pathology,9615,"Charing Cross Hospital, Rm 2L20, Pathology Quality Office, Fulham Palace Road, London W6 8RF, United Kingdom",+44 (0) 20 8321 6153,helen.hobson1@nhs.net,https://www.NWLPathology.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,W6 8RF,5236,1779
Imperial College Healthcare NHS Trust operating as North West London Pathology,8673,"North West London Pathology, 2nd Floor Laboratory Block, Charing Cross Hospital, Imperial College Healthcare NHS Trust, London W6 8RF, United Kingdom",,amal.bashir@nhs.net,http://www.imperial.nhs.uk/about-us,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,W6 8RF,5236,1779
HSL (Analytics) LLP,9106,"Chemical Pathology, West Hertfordshire Hospitals NHS Trust, Watford General Hospital, Vicarage Road, Watford, Hertfordshire WD18 0HB, United Kingdom",+44 (0) 020 7307 7342,Andrew.Clarke@hslpathology.com,http://www.hslpathology.com,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WD18 0HB,5105,1956
University Hospital Southampton NHS Foundation Trust,8149,"Southampton General Hospital, Pathology Department, Tremona Road, Southampton SO16 6YD, United Kingdom",+44 (0) 23 8120 6709,Rob.Rowe@uhs.nhs.uk,https://www.uhspathology.co.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SO16 6YD,4397,1149
University Hospitals Southampton NHS Foundation Trust,8483,"Southampton General Hospital, Pathology Department, Tremona Road, Southampton SO16 6YD, United Kingdom",+44 (0)23 8120 6709,Rob.Rowe@uhs.nhs.uk,http://www.uhs.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SO16 6YD,4397,1149
Manchester University NHS Foundation Trust,8648,"Cellular Pathology, Clinical Sciences Building 2, Manchester Royal Infirmary, Oxford Road, Manchester M13 9WL, United Kingdom",+44 (0)161 276 6138,john.hayes@mft.nhs.uk,https://mft.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,M13 9WL,3849,3962
NHS Forth Valley,9105,"Department of Cellular Pathology, Forth Valley Royal Hospital, Stirling Road, Larbert FK5 4WR, United Kingdom",+44 (0) 1324 566644,leigh.ritchie@nhs.scot,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,FK5 4WR,2849,6828
HSL (Analytics) LLP,9306,"The Michael Letcher Department of Cellular Patholo, The Princess Alexandra Hospital NHS Trust, Hamstel Road, Harlow, Essex CM20 1QX, United Kingdom",+44 (0) 020 7307 7342,Andrew.Clarke@hslpathology.com,http://www.hslpathology.com,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,CM20 1QX,5441,2101
Blackpool Teaching Hospitals NHS Foundation Trust,9009,"Department of Cellular Pathology, Blackpool Teaching Hospitals NHS Foundation Trust, Victoria Hospital, Whinney Heys Road, Blackpool FY3 8NR, United Kingdom",+44 (0) 1253 953 151 / +44 (0) 1253 956 949,dr.golka@nhs.net,http://www.bfwh.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,FY3 8NR,3331,4365
North Bristol NHS Trust,8099,"Department of Microbiology, Pathology Building, Southmead Hospital,, Southmead, Bristol BS10 5NB, United Kingdom",+44 (0)117 414 6251,Deborah.Williams2@nbt.nhs.uk,http://www.nbt.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BS10 5NB,3590,1774
University Hospitals Coventry and Warwickshire NHS Trust,8721,"Coventry and Warwick Pathology Service, Department of Microbiology, Clifford Bridge Road, Walsgrave, Coventry CV2 2DX, United Kingdom",+44 (0)2476 965 472,steven.laird@uhcw.nhs.uk,http://www.uhcw.nhs.uk/for-gps/pathology-services,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,CV2 2DX,4382,2805
Nottingham University Hospitals NHS Trust,8162,"Cellular Pathology, City Hospitals, Hucknall Road, Nottingham NG5 1PB, United Kingdom",+44 (0) 0115 9249924 Ext 83530/76938,Paul.Chenery@nuh.nhs.uk,http://www.nuh.nhs.uk/healthcare-professionals/pathology/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NG5 1PB,4565,3440
University Hospital Southampton NHS Foundation Trust,8178,"Department of Cellular Pathology, MP002 Level E, Pathology Block, Southampton General Hospital, Tremona Road, Southampton SO16 6YD, United Kingdom",+44 (0) 2381 205924,susan.shaw@uhs.nhs.uk,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SO16 6YD,4397,1149
University Hospital Southampton NHS Foundation Trust,9194,"Molecular Pathology, Duthie Link Building, Mailpoint 225, University Hospital Southampton NHS Foundation Tru, Tremona Road, Southampton, Hampshire SO16 6YD, United Kingdom",+44 (0) 2381206976,Rob.Rowe@uhs.nhs.uk,http://www.uhspathology.co.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SO16 6YD,4397,1149
Sheffield Teaching Hospitals NHS Foundation Trust,8093,"Paediatric Histopathology, Western Bank, Sheffield S10 2TH, United Kingdom",+44 (0)114 3053885,sth.sybpqrg@nhs.net,https://www.sheffieldchildrens.nhs.uk/laboratory-medicine/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,S10 2TH,4339,3872
Dartford and Gravesham NHS Trust,9746,"Department of Haematology and Blood Transfusion, 3rd Floor Pathology Directorate, Darent Valley Hospital, Darenth Wood Road, Dartford, Kent DA2 8DA, United Kingdom",+44 (0) 1322 428492,tracy.wynn@nhs.net,http://www.dvh.nhs.uk,"Haematology, Histopathology",Added histopathology by rule,NHS,DA2 8DA,5570,1730
Isle of Wight NHS Trust,9437,"Blood Sciences, Pathology Department, St. Maryâ€™s Hospital, Newport, Isle of Wight PO30 5TG, United Kingdom",+44 (0) 1983 822099 ext 3575,peter.stockman1@nhs.net,http://www.iow.nhs.uk/,"Biochemistry, Histopathology",Added histopathology by rule,NHS,PO30 5TG,4494,903
East Suffolk and North Essex NHS Foundation Trust (ESNEFT),9316,"Histopathology, Ipswich Hospital, Heath Road, Ipswich, Suffolk IP4 5PD, United Kingdom",+44 (0) 1473 703227,lynn.partridge@esneft.nhs.uk,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,IP4 5PD,6193,2446
NHS Lothian,8698,"Pathology, Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4UX, United Kingdom",,Bernard.Lawless@nhslothian.scot.nhs.uk,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,EH16 4UX,3295,6702
University Hospitals of North Midlands NHS Trust,8520,"Department of Infection Sciences, North Midlands and Cheshire Pathology Service, Royal Stoke University Hospital, Main Building â€“ Floor 2, Newcastle Road, Stoke-on-Trent, Staffordshire ST4 6QG, United Kingdom",+44 (0)1782 679664,Emma.Clewlow@uhnm.nhs.uk,http://www.uhnm.nhs.uk,"Histopathology, Microbiology",Added histopathology by rule,NHS,ST4 6QG,3858,3451
Warrington and Halton Teaching Hospitals NHS Foundation Trust,9560,"Pathology Department, Warrington Hospital, Lovely Lane, Warrington WA5 1QG, United Kingdom",+44 (0)1925 275592,s.acton1@nhs.net,http://www.whh.nhs.uk/ServiceCatInfo.asp?id=31,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WA5 1QG,3594,3887
St Georgeâ€™s University Hospitals NHS Foundation Trust,9913,"St George's Healthcare NHS Trust, Cellular Pathology, Blackshaw Road, London SW17 0QT, United Kingdom",+44 020 8725 3094,malika.benatti@stgeorges.nhs.uk,http://www.stgeorges.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SW17 0QT,5269,1713
Royal Devon University Healthcare NHS Foundation Trust,9100,"Pathology Department, North Devon District Hospital, Raleigh Park, Barnstaple EX31 4JB, United Kingdom",+44 (0)1271 335758,davidlea@nhs.net,https://www.royaldevon.nhs.uk/services/pathology/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,EX31 4JB,2565,1345
Norfolk and Norwich University Hospitals NHS Foundation Trust trading as Eastern Pathology Alliance,10296,"Microbiology, Norwich Research Park Innovation Centre (NRPIC), Colney, Norwich NR4 7GJ, United Kingdom",+44 (0) 1603 286900,Fiona.Butcher@nnuh.nhs.uk,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NR4 7GJ,6183,3078
